ID;MODELO;FORNECEDOR;ARM_DE_RECEBIMENTO;CODIGO;NIVEL;TRIAGEM_ESPECIAL;CONSUMO;ESTACAO;LADO;GRUPO_DE_ENVIO;CLASSIF;SUB_GRUPO_1;SUB_GRUPO_2;QUANT_MINIMA;QUANT_MAXIMA;QTD_ENVIO;LISTA_TRIAGEM;ETIQ_DESOVA;MODULO_FLOW_RACK;MODELO_CONCATENADO;QTY_KLT;FORNECEDOR_NAC;OBSERVACAO;ENTRADA;ALTERACAO;DESCRICAO;RECEITA;CLASSIF_1;PORTA;PTL;CODIGO_UNICO;USUARIO;QA_REPARO;SEQ_PBS;QTD_CASE;MODULO
19628;S202;CKD;RG LOG;4127010MK01;2;;1;F03;LE;SUSHI BOX;LEV2+LEV4;RANGE 4;S01F06C22N2D;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;;;;;;19032026;14042026;LAMPA DO PORTA MALAS;G000;G000;8;49;196281LEG000849;117480;;;;
19629;C928;CKD;RG LOG;913242002;;(F05C04N1C);4;F06;;SACI MIUDEZA;LEV2+LEV4;M-09_N-04;F05C04N1C;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;110;;3;;;19032026;25042026;PARAFUSO;...;...;;;196294...;116267;;;;
19630;C928;CKD;RG LOG;913648001;;(F05C04N2D);;F07;;SACI MIUDEZA;LEV2+LEV4;M-17_N-02;F05C04N2D;;;390;10-(180)_TRIAGEM;10-(180)_TRIAGEM;114;;3;;;19032026;4052026;PARAFUSO AUTORROSCANTE;...;...;;;19630...;116874;;;;
19631;C928;CKD;RG LOG;0913648004S355;;(F07C02N2C);4;F06;;SACI MIUDEZA;LEV2+LEV4;M-09_N-04;F07C02N2C;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;110;;3;;GREEN BOOK;19032026;19032026;PARAFUSO;...;...;;;196314...;13187;;;;
19632;C928;CKD;RG LOG;914808002;;(F05C03N1C);4;F06;;SACI MIUDEZA;LEV2;M-09_N-04;F05C03N1C;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;110;;3;;GREEN BOOK;19032026;26032026;PRESILHA DE PLASTICO;...;...;;;196324...;114232;;;;
19633;C928;CKD;RG LOG;0915910020S214;;(F05C03N2H);2;F08;;SACI MIUDEZA;LEV2+LEV4;M-09_N-04;F05C03N2H;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;113;;3;;;19032026;25042026;PORCA;...;...;;;196332...;116267;;;;
19634;S202;CKD;RG LOG;938313002;;(F05C01N1I);;C03;;SACI MIUDEZA;LEV2+LEV4;M-25_N-04;F05C01N1I;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;127;;3;;;19032026;19032026;PRESILHA FIXADORA;...;...;;;19634...;13187;;;;
19635;C928;CKD;RG LOG;940910403;;(F06C05N2B);;F07 / F08;;SACI MIUDEZA;LEV2+LEV4;M-09_N-04;F06C05N2B;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;113;;3;;;19032026;;PRESILHA PLASTICA;;;;;19635;116267;;;;
19636;C928;CKD;RG LOG;0911606014S353;;(F06C05N1D);5;F13;;SACI MIUDEZA;LEV2+LEV4;M-09_N-05;F06C05N1D;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;271;;3;;;19032026;25042026;PARAFUSO FLANGEADO;;;;;196365;116267;;;;
19637;C928;CKD;RG LOG;0911606015S234;;(F06C05N1E);;F18;;SACI MIUDEZA;LEV2+LEV4;M-09_N-05;F06C05N1E;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;111;;3;;;19032026;13052026;PARAFUSO;...;...;;;19637...;116267;;;;
